[1:00:01] OpieTelford: ซื้อแล้วไม่ใช่หราาาา
[1:00:03] keng418: เอาาาาลถงงง
[1:00:04] phethahe: สวยจริง
[1:00:04] THE271: กล่าวถึงลุง
[1:00:05] sixdriver22: ของมันคู่กันลุง5555
[1:00:05] nanoregency: ต้องป๋าโจ
[1:00:07] praewa__: เห็นแล้วนีกถึงพี่แว่น
[1:00:08] dasosa_itty: ซิง
[1:00:08] AloneZ_3012: สวยเกินนนน
[1:00:09] charlotte20005: ซิง
[1:00:09] WaTzTeeRaWaT: วีสเป็คเน้อ💙💙💙
[1:00:09] i_kuyy: gtt แปลง gtr ก็สวยล่ะ ขับชิวๆ
[1:00:09] svjboyd: จริงๆ
[1:00:10] nongoat9140: ลุงไม่สนเล่น อีโว มั้งหรอครับบบบบบบบบ
[1:00:11] preamo_o: ซิง
[1:00:11] 1sert23: ผมมีทะเบียน35นะครับลุง
[1:00:12] hamdamnahkap: ไอดล
[1:00:14] sirayuhbeat: 5555++
[1:00:14] dabkumfew: จริง
[1:00:15] wiraphat_2208: ซิง
[1:00:15] piriyapat_: อันบนฮาๆ
[1:02:23] somebadyluv: 5555
[1:02:23] toto_bear: 555555
[1:02:23] Stamp0102: 5555555555555
[1:02:23] khinglikeyme: 55555555
[1:02:23] babyjayjo: 555555555555
[1:02:23] boom0129: 5555555555
[1:02:23] goeza_007: 555555
[1:02:23] ammy4599: 555555555
[1:02:24] zackzzs: 555555
[1:02:24] shepfew: ต้นตำหรับ
[1:02:24] kskoranis: 555
[1:02:24] duekkdj: 55555555
[1:02:24] ddream47: 5555555
[1:02:24] middleonelive: 555555555555
[1:02:25] jkrowling48: 555555
[1:02:25] junior_heaven: 555555
[1:02:25] pattaraponvonganu: คริปดล55
[1:02:25] pang_nn_: 55555555
[1:02:25] dew_ezy: 5555555
[1:02:26] malee_swymak: ดูปาโจ vs โพล์ค
[1:02:26] pumba_pds: 55555555
[1:02:26] dow2546: 5555555555555
[1:02:29] fubid: เเจ๊คทัศติ ดีมากๆไม่ลืมบุญคุณคนที่มาช่วย
[1:02:30] chainnii: 5555
[1:02:31] nnguid3: 55555555
[1:02:32] 090769: 55
[1:02:32] bbfrmdao: ลุงหลาน
[1:02:32] s3xurity: ผมชอบแจ๊คมากนะเป็นคนที่มีทัศนคติที่ดีมาก
[1:02:33] purple_moon_iusupczz: @meemamaikaa น้องมา jackey9Mnheart jackey9JackeyDja
[1:02:34] TorTorTor_: ในคอมเม้นคลิปนี้อะ มีคนเม้นว่า ทวิตคนดูหาร3 ผมงงเลยไปเอามาจากไหน
[1:02:35] tth3darknesss: 5555555
[1:02:39] itmethorfhun: jackey9JackeyLOL jackey9JackeyLOL jackey9JackeyLOL
[1:02:39] bi_kabb: 555555555
[1:02:40] swimming9x: 555555
[1:02:40] sirayuhbeat: เทจัด
[1:02:44] purple_moon_iusupczz: @re_indy_666 jackey9Arkk
[1:02:46] nonsnook26: เห้ยยยยน
[1:02:47] LeOn_MMIII: เท่เกิน
[1:02:47] PEEZA10446: rebirthztvAngelTew
