[0:44:24] 職人: え？
[0:44:29] しぇぱ3: え？w
[0:44:30] ichisanniiroku: おっとっとｗ
[0:44:31] rinnemu75: ちゃるの会った事ない人あと魔王さんだけだっけか
[0:44:44] wendo_nex: あれ！
[0:44:50] ぜうすさぶお: ｗｗｗｗｗｗ
[0:44:52] wendo_nex: 葉は？w
[0:44:55] ことみょん: WWWWWWWW
[0:44:55] ナマコ魚雷: あれ？w
[0:44:56] ぜうすさぶお: おっと？ｗｗ
[0:45:04] torinosu_rainy: やりたいです！！って言ってましたw
[0:45:12] ittantan_: あいつ忘れてそうw
[0:45:22] ぜうすさぶお: ｗｗｗ
[0:45:22] 海猫だおーん: wwww
[0:45:26] wendo_nex: むーむー
[0:45:40] 半熟めんま: ｗｗｗｗｗｗｗｗｗｗ
[0:45:53] max5583xy: 夢で葉を呼ぶしかないw
[0:45:59] wendo_nex: 説明しよう！
[0:45:59] ぜうすさぶお: 葉まじでｗｗ
[0:46:02] user_001fin: 戦争っていうんや
[0:46:06] wendo_nex: ウエーい！
[0:46:06] texcoawg1309: fooooooooooo
[0:46:08] torinosu_rainy: ボス「忙しくなるぞ？」葉「はい！大丈夫です！」
[0:46:12] ことみょん: 葉が1番話聞かないとなのに
[0:47:37] texcoawg1309: 妨害楽しそうｗ
[0:47:39] peto303: いいねｗｗｗ
[0:47:45] ことみょん: 楽しそー！
[0:47:45] itoriyo: 受注先が一番危ないな
[0:47:47] 海猫だおーん: いくぇ〜
[0:47:47] atsumori_pop: ギャンギャンしてきたねえ！
[0:47:48] ソルティー_: おもろそー
[0:47:50] KABAYAKIGG: DinoDance DinoDance DinoDance DinoDance
[0:48:01] want_5870: 金持ち奪えたら熱いねw
[0:48:03] Xirilla_: 勝敗つかずにバチバチやる感じか
[0:48:10] ふでかげ: 車は？
[0:48:11] Pal32: あっつぅ
[0:48:19] mnmaktbs511: 勝ち負けない感じね
[0:48:30] texcoawg1309: まーねｗ
[0:48:30] sakuto3399: きた
[0:48:32] peto303: 那須君ｗｗｗ
[0:48:33] レヴィ99: 🕊
[0:48:38] 豚野郎1227: !pin
[0:48:38] ariken_company: 鳩・鳩反応・指示禁
[0:48:44] しぇぱ3: これ絶対おもろいやつやん
[0:48:55] jkjkwinwin: 鳩やばいなぁー
[0:49:01] shuya23356: 心にとどめろ鳩
[0:49:07] しろしろくんどっと: はい
[0:49:10] texcoawg1309: がんばれー！ｗ
[0:49:10] エービー: だいじやで
[0:49:12] ふでかげ: ｗｗｗｗ
[0:49:12] 海猫だおーん: arikenDaiseikkai arikenDaiseikkai arikenDaiseikkai
[0:49:12] atsumori_pop: ＲＰだからね
[0:49:13] 豚野郎1227: 鳩反応もやめようかみんな
[0:49:15] しぇぱ3: 鳩反応もええで
[0:49:17] sita1212: 楽しんでこーねw
[0:49:17] フンバルト_ヘーデル: 盛り上がるえ～
[0:49:21] 海猫だおーん: wwww
[0:49:25] 豚野郎1227: !pin
[0:49:27] nayonayo114514: 🕊ﾊﾟﾀﾊﾟﾀ
[0:49:35] shuya23356: まぁ楽しもうー
[0:49:38] texcoawg1309: ひらがなで説明しないとねｗ
[0:49:38] kajokajoka: wwwwww
[0:49:38] jkjkwinwin: 鳩反応の反応もやめようねー
[0:49:39] 鈴木3: ﾑｷｰ
[0:49:39] ナマコ魚雷: www
[0:49:41] ソルティー_: www
[0:49:42] フンバルト_ヘーデル: おちんついてね
[0:49:42] ぶたぁー: wwwwww
[0:49:43] tokino8044: ww
[0:49:45] endy729: もうバケモンなのよｗ
[0:49:45] ふでかげ: ｗｗｗｗ
[0:49:48] atsumori_pop: そんなんもいっぱいいます
[0:49:52] zenith_ar: 🕊💣💥
[0:49:55] kakinootaane: はい
[0:49:55] 海猫だおーん: 鳩にはバスターコールだぇ〜
[0:49:57] nayonayo114514: はーい
[0:50:01] とろとろぴく: はーい
[0:50:05] texcoawg1309: ｗｗｗｗｗｗｗｗｗｗｗｗ
[0:50:07] ふでかげ: ｗｗｗｗｗ
[0:50:10] nayonayo114514: ｗｗｗｗ
[0:50:10] Xirilla_: ジェイクｗ
[0:50:10] 松崎しげるだよ: ｗｗｗｗｗ
[0:50:11] フンバルト_ヘーデル: ま？w
[0:50:12] かぷちーのさん: www
