[0:05:03] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:05:03] prp_2007: ดีครับพี่เอส
[0:05:03] yeegod8936: SeemsGood SeemsGood
[0:05:03] ANT_SUPHAPOR_ANT: rebirthztvPlease rebirthztvLove rebirthztvJak
[0:05:04] anantasit_: CurseLit GlitchNRG
[0:05:04] PDNoumoimzx: ดีฮะจุนลุง
[0:05:04] toi5555: ดีครับลุง
[0:05:05] sawut1: idol
[0:05:10] ice_ttu09: ดีคัย
[0:05:10] na_wink: ช้ะๆๆๆๆๆ
[0:05:10] skyline_nevetdie: สวัสดีครับพี่เอส
[0:05:11] UpzZz2: ดีครับ
[0:05:11] arm_nah: หวัดดีค้าบลุง
[0:05:14] nipon_12: SeemsGood SeemsGood SeemsGood
[0:05:15] nonnyskippy: ดีคับ
[0:05:16] purple_moon_iusupczz: @folkkk_ สวัสดีจ้า kokinHi
[0:05:16] somkid11: ดีครับ
[0:05:16] soi_bad: <3
[0:05:17] kong2502: ดีครับ
[0:05:19] poom_wer: สวัสดีค้าบบ
[0:05:24] voynatdanai: หวัดดีค้าบบ
[0:05:25] dudya_000: พี่เเจ็คเขาเป็นอะไรหรือป่าวครับ
[0:05:25] arm_nah: วันนี้ผมมาเร้วรุ่ว่าลุงแข่ง
[0:05:26] arch_an_o: ดีน้าบบบบ
[0:05:27] purple_moon_iusupczz: @lapiis1 ดีงับ jackey9Mnheart jackey9Mnheart
[0:05:29] theeraphat999: ดีค้าบ
[0:05:29] patsakorn_chaihan: สวัสดีครับลุงงงงงงงงงงงงงงง
[0:05:30] yeegod8936: PowerUpL SeemsGood
[0:05:30] sogodgi: อาหาีึับ
[0:05:30] BeerCo2: @purple_moon_iusupczz สวัสดีครับพี่ซุป rebirthztvPlease rebirthztvPlease rebirthztvPlease
[0:05:31] pet004: ดีจ้าบบบบบบบบบบบบบบบบบบ
