[0:03:40] deammmmmm111: อ้าวววว
[0:03:40] netboyzarama2: มาไวจัด
[0:03:42] mindnakub99: ไอเต็ง มาดูดิ
[0:03:44] MMoOosSs: หวยออกที่ใคร น๊าาาา
[0:03:45] bosza123rr: เอาว่ะ
[0:03:45] 11gb: อุัย
[0:03:46] mintxlx: xerxlololRacing
[0:03:48] SPY_Y_COOLERXXX: มาไวจัด
[0:03:52] pxbb_l0e: เอาละดิ
[0:03:54] by_wen: ลุงเตรียมมาจัด
[0:03:54] 19bank: ไอ้เต็งมาดู
[0:04:00] piriyapattp: สรุปเรื่องนานเเล้ว
[0:04:00] tor_845: ลุงมาไวจ้าดด
[0:04:01] kaijeawmookob: ไอ้เต็งมาดูไอ้สัสนรก
[0:04:01] nuunahee888: ไอ้เต๋งมันมั่ว
[0:04:03] xp___px: ทำตัวน่าสงสารจัดบอเอ้ยย
[0:04:06] babynoop: โหนกระเต็งมาดูหน่อย
[0:04:11] thantap44: เพิ่มเสีงทักลี่หน่อย
[0:04:19] deammmmmm111: แท็กโหนมาๆ
[0:04:21] pleum_modxtyzzz: มาดูๆไอเต็ง
[0:04:22] thanawutpao222: HypeSeemsGood
[0:04:25] jone_500_tv: ไอเต็งมันดูอยู่ไม่ต้องห่วงมันไวเรื่องของเราอะ
[0:04:26] golfool: แ
[0:04:27] bom_prasert: ดีครับลุง
[0:04:27] zxcvnoon4776: ไอ้เต็งมึงมาดู แล้วเอาไปลง
[0:04:28] Onsupness: เต็งมึงลงด้วยนะกูจะรอดูว่ามึงจะลงมั้ย555555555
[0:04:29] ARTHUR_X0: ทักลี่เสียงเบา
[0:04:31] bu3blee: สงสารทักลี่
[0:04:34] adenan_080741: ไอเต็งมึงมาดู !!!!
[0:04:36] mindnakub99: ให้ไอโหนแก๊งแตกมาดูหน่อยค้าบ
[0:04:41] RLEE___x: ไอ้โหนมึงมาดูไอ่เด็กโง่
[0:04:46] pootawannnn: เต็งมาดู
[0:04:50] sirinnnz: พาลลากคนอื่นมาเกี่ยว สภาพพ
[0:04:51] nonnks21: ไอเต็ง โหนแฟมมายัง มาฟังมา
[0:04:51] OvEl2DoSe: ไอ้เต็งแหกตามาดูหน่อย
[0:04:53] warcontv: เเชตใจเย็นน้อ555
[0:04:55] elchapo_escobarx: คัดข่าวหน่อยป็ได้นะไอ้เต็งไม่ใช่โจมตีแต่แฟม
[0:04:57] Crazy_babybb: โหนเต็งนี้เงาแค้นแฟมป่าว
