[0:05:31] TeLETuBBiESx: ตกใจ
[0:05:31] loreuo_: ดีค้าบ
[0:05:31] real_fame: ดีครับพี่รูบูส
[0:05:32] SECHZEHN_: rebirthztvITA rebirthztvITA
[0:05:32] damrongchai1: ดีงับบบบบบบบบบบบบบบบบบบบบบบง
[0:05:33] fluke_nuttapol: สวัสดีครับพี่เอส
[0:05:33] asdcov: ดีเพื่อน
[0:05:34] kiw001502: สวัสดีคร้าบพี่เอส
[0:05:34] jamebound007x: สวัสดีครับพี่เอส
[0:05:34] vivcion: |||
[0:05:34] d_donut_sk: ตกใจ
[0:05:34] zboyza: BibleThump
[0:05:35] j0ne50o: !sc
[0:05:35] chanawat2007: ...
[0:05:35] Tuirimuru: หวัดดีครับลุง rebirthztvHurt rebirthztvHurt
[0:05:35] rabbit_t_: x6th2Blood
[0:05:35] purple_moon_iusupczz: rebirthztvHaha
[0:05:35] PATsTechno: d kub
[0:05:36] Mitnotx: SeemsGood
[0:05:36] i_kuyy: 5555
[0:05:36] Natthawut_Oppa: 55555
[0:05:36] purin_2002: BibleThump
[0:05:37] 0628941153: ดีครับอาเฉิน
[0:05:37] colazaaa: ดีครัช
[0:05:37] somebadyluv: สวัสดีครับพี่เลิฟ
[0:05:37] MyKevin25: ดีครับพี่เอส
[0:05:38] pasun23357: หวัดดีครับลุง
[0:05:38] Nightbot: กองกำลังตู้! Kappa
[0:05:38] TENLOWWELL: แม็คเหินโหนก
[0:05:38] nong_jay0: ดีครัย
[0:05:38] nomjued_z: หูจะแตกกกก
[0:05:38] todfreefire: CrreamAwk
[0:05:39] likehee78: อย่าบ้าาาา🪵🪵
[0:05:39] film_wtf_09: สวีดัสส
[0:05:39] pot880: ดีค้าบ
[0:05:39] dung_naidong: ลูงหวัดีคับ
[0:05:39] notzaza224: ดีคับ
[0:05:40] foolume: StinkyGlitch
[0:05:40] nuball_1974: ตกใจ55
[0:05:40] chokeyyyyy: ดุ้งเลย
[0:05:40] minip__: Kappa
[0:05:41] meaningless_12: ดีครับ
[0:05:41] joker9jr: ดีค้าบ
[0:05:42] chawanwit759: cmonBruh cmonBruh
[0:05:42] Natthawut_Oppa: 3รอบอะ
[0:05:42] siqsicq10: ดีครับลุง
[0:05:42] peesoza: ลุงเหินโหนกป่าว555
[0:05:43] kittithat401: 5555
[0:05:43] crownjxmask: เตรียมหูไม่ทัน
[0:05:43] khanisorn_x2: ดีครับลุง
[0:05:43] cechswift: สวัสดีครับ
[0:05:43] asrgb: rebirthztvOmg
