[0:02:32] Natcha66jj: สวัสดีน้าบบบ
[0:02:32] Peach_Pe: ดีค้าบบ
[0:02:32] onmagaso: เห้ยฟิตจาดดดด
[0:02:33] watcharapongg: watcharapongg subscribed at Tier 1. They've subscribed for 3 months, currently on a 1 month streak! rebirthztvNarukeu
[0:02:33] JaoGopGab: ด่ีค้าบลุงง
[0:02:33] bluesforbasie: คนขยัน
[0:02:33] nutzeeza: ดีคับพี่มาลี
[0:02:33] EverydayYunek0: ลุงมีไฟฟฟ jackey9Susu
[0:02:34] wjwjwnwbwbsn: HeyGuys
[0:02:34] samahusamaha: ดีค้าบป๊าาเเละเเชททุกโค๊นนนนนน
[0:02:35] pandan_bread: rebirthztvPlease
[0:02:35] chinnapat_46: ดีคับลุงง
[0:02:36] Glacuiess: ดีครับ
[0:02:36] watanyouucq: ดีครับลุง
[0:02:37] fuillzz: OSFrog OSFrog
[0:02:37] santad_005: ดีครังพี่ดาบสุดหล่อและสุดสวยครับพี่
[0:02:37] geniuseiei: CurseLit CurseLit Poooound Poooound CurseLit
[0:02:37] nxeyy__: @ovel2dose ดีพี่ดาบค่ะ jackey9JackeyDja
[0:02:37] OvEl2DoSe: @anas_ut ดีคับน้องเลิฟฟฟ
[0:02:38] Rocky_Still: สวัสดีครับพี่เอส VirtualHug
[0:02:38] fredvvgr: สวัสดีครับคุณลุง
[0:02:39] Mickies_: สวัสดีครับพี่เอส
[0:02:39] Lugia_Buzzz: ดีค้าบ จุนลุง rebirthztvLove
[0:02:40] purple_moon_iusupczz: สวัสดีครับพี่เอส
[0:02:41] ATMOSXZ_: @OvEl2DoSe สาหวัดดดีค้าบบ
[0:02:41] jeft1112: ดีคับลุง
[0:02:42] exxon548: ดีครับผมเด็กใหม่
[0:02:44] slimmao420: LesbianPride
[0:02:44] NESYESS: rebirthztvRich rebirthztvRich
[0:02:44] wasdswsad: rebirthztvAfk_HF
[0:02:44] charlchanoks: สวัสดีค้าบคุณลุงงง
[0:02:44] cjsjd_jop: <3 <3 <3 <3
[0:02:45] purple_moon_iusupczz: สวัสดีนะครับทุกคน
[0:02:45] 082470106: familiar City
[0:02:46] nonsnook26: yocciRave yocciRave yocciRave
[0:02:46] decimo_xxx: ดีครับบบบบบ
[0:02:46] anddew_18: ดีครับ ปีศาจเฒ่า
[0:02:47] blackdbass: ดีค้าบ
[0:02:47] film_got: คนมันมีไฟฟฟ55555
[0:02:48] pondgtrx: ไม่มีหยุดของจริง
[0:02:48] thanachai_tp: thanachaipromsen subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! 
