[0:38:42] _ねねね_: かわいい
[0:38:46] wolf_vltt: カクテキもうまいよ
[0:39:09] itoriyo: 餡しかいないｗ
[0:39:13] しぇぱ3: ｗｗｗｗ
[0:39:17] nsgrn__: アジト・・？
[0:39:18] 生はむメロンパン: レジギガス
[0:39:24] ichisanniiroku: 怪しいえ・・・
[0:39:29] tricluster: 餡子くさいｗ
[0:39:30] ぴーなっつばーたー: あ
[0:39:37] nankotu68: ？
[0:39:51] kira_0426: 笑笑
[0:39:54] かーくん_: ｗｗｗ
[0:39:55] karumimaguro: wwwww
[0:39:59] waka919: 赤城でアジトで会うってw
[0:40:00] fancy_hippo: 餡しかいねぇ
[0:40:04] ミズくらげ: www
[0:40:12] zenith_ar: 餡ばっかかw
[0:40:13] もずくみこみこ: www
[0:40:14] hachiko0000: wwwww
[0:40:23] itoriyo: おおｗ
[0:40:25] gundora23: おおお
[0:40:25] hachiko0000: おw
[0:40:30] ichisanniiroku: 30分感謝だえｗ
[0:40:30] karumimaguro: おおお
[0:40:30] papapapupepon: つまり
[0:40:32] zlep__: くるか？
[0:40:33] くうれい: おおぉｗ
[0:40:35] もずくみこみこ: 予告だぇw
[0:40:36] lsdlsd5: wwwww
[0:40:37] guren1_: ましろも餡だったな
[0:40:37] Kaminagi_TKP: ｗｗｗｗｗｗｗ
[0:40:38] しぇぱ3: てことは？ｗ
[0:40:39] Xirilla_: ｗｗｗ
[0:40:39] KABAYAKIGG: wwwwww
[0:40:40] karumimaguro: www
[0:40:41] tricluster: ダメ出しｗ
[0:40:42] ソルティー_: 音圧がなw
[0:40:42] さんたろ30229: www
[0:40:44] hachiko0000: ん？？？
[0:40:57] hachiko0000: wwwwwww
[0:40:58] Kaminagi_TKP: やっぱりﾎﾟﾝだｗ
[0:40:58] KABAYAKIGG: うおおおおぉおおおおおおおおおおおお
[0:40:59] しぇぱ3: gg
[0:41:02] tokino8044: www
[0:41:03] zenith_ar: w
[0:41:06] もずくみこみこ: いいねぇw
[0:41:28] iytreszhii: うわ赤城が荷物パンパンじゃなければ
