[0:02:53] dome_hub: dome_hub subscribed at Tier 1. They've subscribed for 4 months! 
[0:02:53] finan04: !rebirthztvSunn
[0:02:54] madara00a: ดีครับลุงงง
[0:02:55] drag_freedom: eaddyHi eaddyHi
[0:02:55] bebigza: ดีคับ
[0:02:55] flukeloplay: ดีครับลุง
[0:02:56] boss_1837: มาไวจังวันนี้
[0:02:57] poiknr: rebirthztvAroi rebirthztvAroi rebirthztvAroi rebirthztvAroi rebirthztvAroi
[0:02:57] MANG4G: ดีค้าบพี่เอส
[0:02:57] 1_oat: หวัดดีครับลุง
[0:02:57] ken_na_hee: ดีคับบบ
[0:02:58] nontakorn_1144: ดีครับลุง
[0:02:58] suthichai2007: ดี
[0:02:58] jjdbdxs: ดีงับ
[0:02:58] jokemoorb: ดีค้าบๆ
[0:02:58] thanawit09754: มาเร้วจาดดดดด
[0:02:58] bang_glof: ไวจัดด
[0:02:58] prwj23: ดีค้าบ
[0:03:00] nattaset8: ดีครับวัยรุ่น8หลักกกกกกก
[0:03:01] soranan_50: ดีน้าบบ
[0:03:03] sataporn53: ดีครับบบบบบบบบบบ
[0:03:03] tjexe5029: <3 <3
[0:03:03] yanisa_1: ิดีค้าบลุง
[0:03:03] Caramel_111_Focus: fดีครับบบบ
[0:03:04] tanawat2525: ดีคับบ
[0:03:05] nuttphat_dream: ดีครับ
[0:03:07] kim8888888: ดีครับ
[0:03:07] losotonza01: <3 <3 <3 <3 <3
[0:03:07] artittaya_pin: ดีง้าบบย
[0:03:08] qqquh: ดีครับบ
[0:03:08] classicboss2: ดีครับลุง
[0:03:08] bi_kabb: ดีครับ
[0:03:08] hasami_i: วันนี้หยุดไหมคับลุง
[0:03:08] tvsxk7: ดีคับ
[0:03:09] skylaxy51: skylaxy51 subscribed at Tier 1. 
[0:03:10] nattapon3820: rebirthztvHurt
[0:03:10] whiskeyboyyyy: <3
[0:03:10] donut_pzh: สวัสดีครับ
[0:03:10] arshiwynternelboy: มาไวจัด55555555
[0:03:11] cofyjkf: สวัสดีครับ
[0:03:11] oak161: ดีค้าบบ
[0:03:11] beer9990: หวัดดีค้าบพี่เอส
[0:03:11] ball_jakkapong22: รอดูลุงตลอดเลยครับ
[0:03:11] xdolph1n_: ดีครับพี่เอสส
[0:03:12] nattawat20120: ดีค้าบบย
[0:03:13] aum2546aum: ดีครับลุง
[0:03:13] save_vincenzo: ดีครับลุง
[0:03:14] som_oum: ดีค้าบลุง
[0:03:14] whisper_159: ดี
[0:03:14] jimmyrz17: rebirthztvITA rebirthztvITA rebirthztvJak rebirthztvJak
[0:03:14] kittines1: !uptime
[0:03:15] newzy555: ดีครับ
[0:03:15] chxt_tttt: ดีครับลุ๊งงงง
[0:03:15] sawaphatlatakua: <3
[0:03:15] Nightbot: Stream uptime 3 minutes, 24 seconds
[0:03:15] SECHZEHN_: สวัสดีครับ rebirthztvLove
[0:03:15] sunghan_: ดีครับลุง
[0:03:15] owo24890: ดีครับ
[0:03:16] UpzZz2: ดีครับ
[0:03:16] faliwxr: ดีครับบบบบ
[0:03:16] jamesmlnb: ดีครับลุง
[0:03:16] Gu_GuidE: <3 <3 <3
[0:03:17] arnon254716n: มาแล้วหรอครับ
[0:03:17] xenon280: ดีครับลุง
[0:03:18] oatjosa: ดีครับวัยรุ่นหนี้8หลัก
[0:03:18] wasan06631: rebirthztvPlease rebirthztvPlease rebirthztvPlease rebirthztvPlease
[0:03:18] aerpapa: สวัสดีครับลุง ดีครับสุดหล่อ
[0:03:20] jringza: NotLikeThis
[0:03:21] wuttisak_2001: คิดถึงลุงมากครับ
