[0:02:33] akira_zx8: เที่ยวพัทยาเป็นไงบ้างครับ
[0:02:33] thitikarn10: เหมือนฝันไป
[0:02:34] petchppz: ห้ะ
[0:02:35] venomone46: มีอะไรอีกก 555
[0:02:36] ohoterhwanjeab: มาดึกจังครับ
[0:02:37] newnaji: มีเหลืองแน่
[0:02:37] bomss: LUL
[0:02:37] purple_moon_iusupczz: @zx_soice ดีน้าบ
[0:02:38] JuniorSoitan: @purple_moon_iusupczz  สวัสดีค้าบพี่ jackey9Heartkub
[0:02:39] nite_56: หวัดดีครับลุง
[0:02:39] kong_kong121: SeemsGood
[0:02:39] sabo_2001: มีไรกันครับ
[0:02:40] safesatan: สวัสดีครับพี่เอส
[0:02:40] acdex77: rebirthztvOmg
[0:02:41] reenntw: jackey9JackeyLOL jackey9JackeyLOL
[0:02:41] bigsmilerz: rebirthztvHa
[0:02:41] phat_az13: ห้ะ
[0:02:42] blacklist_name: เค5555555
[0:02:42] momo_sup: 5555
[0:02:42] s_shinobuz: 5555555555
[0:02:42] nongnaaluk: 5555555555
[0:02:43] Idy2lic_bijou: กำลังจะนอนเลยย
[0:02:43] gunscene: แปลกๆ
[0:02:43] nxuller: แจ็คด้วย 555
[0:02:44] TAWHAD: เค
[0:02:44] tigher18: NotLikeThis NotLikeThis NotLikeThis
[0:02:44] gooddy_b789: จะรั่วให้ได้เลย 5555
[0:02:44] magi_haha: rebirthztvHa rebirthztvHa
[0:02:45] friend_nimo: 555555
[0:02:45] thursday195_: 5555555555555555555
[0:02:46] tee_prombuncha: อีกแล้วหรอ555
[0:02:46] lilinkubb: สงสารลุงว่ะ
[0:02:46] arfan2005: มีเรื่องอะไรอีกกกก
[0:02:46] 25503333: คือว่าหยุด
[0:02:46] sitthdet: 55555
[0:02:46] iceoishii: 5555
[0:02:46] FahSkyy_: 555555
[0:02:46] vitchaa: เค้ากลัวลุงสบายเกิน
[0:02:47] purple_moon_iusupczz: @juniorsoitan ดีจ้า rebirthztvLove
[0:02:47] ddrxxmm: 555555
[0:02:47] ball1784: เค
[0:02:48] Chagulf: อารมณ์ไหนลุ๊งว5555
[0:02:48] maymin_min: rebirthztvHa rebirthztvHa
[0:02:48] aizxz112: แปลกๆ
[0:02:48] Bensodomo: 5555555555555555555
[0:02:48] oxypi_888: ห้ะ แดนนี่
[0:02:49] dome_zazaza: ลุงท้อ ลุงเหนื่อย
[0:02:49] nnawaphat: 5555
[0:02:49] aoflekslots: 5555555555555555
[0:02:50] copepp: 55555555
[0:02:50] hava1301: rebirthztvHa
[0:02:50] kitkatlover1s: rebirthztvNhong rebirthztvNhong rebirthztvNhong
[0:02:50] art_25504: แดนนี่กับลูกชิ้น
[0:02:50] pongsiri4455: เยอะจาดดดด555555
[0:02:51] DELANEY_DAY: ธรรมดาเมืองมันดัง555
[0:02:52] noticed_lvrk: jackey9JackeyLOL jackey9JackeyLOL jackey9JackeyLOL
[0:02:52] itmesnoww: เวลาไม่ครบ
[0:02:52] ninew45: มีเเต่เรื่อง
[0:02:53] tontakan5899: มาเฉย
[0:02:54] pi_zzal: 5555555
[0:02:54] TOPC0RN: ช่วงนี้เรื่องมาไม่พักเลย 5555
[0:02:54] forttyy_: มาไม่หยุดดดด
[0:02:54] pound22222222: สบายดีมั้ยยย
[0:02:56] JJaOHhh: 5555555
[0:02:58] chamezx27: StinkyGlitch
[0:02:58] legen_dary90: ต้องทำบุญ10วัดละนะพี่55555
[0:02:58] jaojonrelx: ห้ะ
[0:02:58] kanabe_08: แต่ละวันจะไม่ให้พักกันเลยไง
[0:02:59] kidsana01: เอาดี
[0:03:01] justzezathink: จ๊ากกกกกอีหยังงง
[0:03:01] callme_babyyy: jackey9Herr jackey9Herr jackey9Herr
[0:03:01] sparetimexq: ลลฃ
[0:03:02] tam_kung_: เหนื่อยไหมลุง
[0:03:02] aodsarawutj6: เน้นเมืองFจัดๆ555555
[0:03:03] thanapum211: อะไรครับเนี่ยจุนลุงงง
[0:03:05] purple_moon_iusupczz: เรื่องเยอะจริง เที่ยงคืนแล้ว ผมยังไม่ได้อาบน้ำเลย StinkyGlitch
[0:03:05] nubdaosarocha: ทำบุญมั้ยย
[0:03:05] thitikarn10: อ่ออออรู้แล้ววคือไร55555
[0:03:05] topzana107: แปลกๆจัด
[0:03:05] afnanchaheh: ในบอกจะพักลุง
[0:03:06] surasak7777: 555
[0:03:06] bank_bank191: ไม่ได้หยุดไม่ได้พักเลบพี่กู
[0:03:07] BaNgVeE420: แดนนี้ทำอะไรหรอพี่เอส??
[0:03:07] mayonlerrr13: อ่าวไหนหยุด 5 วัน5555555
[0:03:07] fantasticbkd: มาไง
[0:03:08] t_ps16: สมองระเบิด
[0:03:09] 38_KillzX: แต่ละวัน
[0:03:09] amndzz: วันหยุดที่ไม่ใช่วันหยุด
[0:03:09] cemol_: มันมีคนตัดให้เป็นดราม่า
[0:03:09] ssrms27: rebirthztvTadaeng rebirthztvTadaeng rebirthztvTadaeng rebirthztvTadaeng
[0:03:09] venomone46: ควรชินได้เเล้วกับดาม่า5555
[0:03:10] zxzwwe: เค ผมที่เพิ่งว่างดู
[0:03:12] snow_maew: ต้องทำบุญใหญ่ละนะลุง55555
[0:03:12] babymamon1: ดู
[0:03:14] vaiperrxhxe: สองวันพักว่าเรื่องอะลุง55555
[0:03:14] rbzaot: ห่ะไหนบอกจะเจอกันสิ้นเดือนไงลุง
[0:03:14] 420Alldie: สรุปไม่ได้หยุด บอกเลยมียาว จนวันที5
[0:03:16] kjx69: ทีวี
[0:03:17] sitthdet: ดู
[0:03:17] Tnk_pw: ปืดเซิฟละไปทำยุญกันนน
[0:03:18] vitchaa: ขำรอ
[0:03:18] dinosoba: ลุงลองไปทำบุญเสริมดวงมั้ย
[0:03:19] tawanneu: มาม่าอีกแล้วเห้ออออ55555
