[0:02:33] Jinnyyja: rebirthztvPlease
[0:02:33] mondarin12: ดีครับลุง
[0:02:34] kobe_yeszz: ดีค้าบลุง
[0:02:34] pig__sn: เซิฟรี
[0:02:34] kanmcake: ดีค้าบบ
[0:02:34] bestx200: <3
[0:02:34] book865933: สู้ค้าบ Dg
[0:02:34] setthawut_111: ดีค้าบลุง
[0:02:35] notzerot: <3 <3 <3 <3 <3
[0:02:35] beamkung_112: คิดถึงงง
[0:02:35] zigzag_bone007: ดีคับ
[0:02:35] thgodgame: สวัสดี
[0:02:36] Midnuy: rebirthztvPlease rebirthztvPlease
[0:02:36] tigersukson: ชุดนอก 5555
[0:02:36] slot_cr: ดีครับ
[0:02:36] swrt007: ดีฮุ่ง
[0:02:36] adisak2006: ดีค้าบลุงคิดถึงจัดๆ
[0:02:37] 12345678799boomz: ดีครับบ
[0:02:37] purple_moon_iusupczz: @parkkuneiei ดีจ้า
[0:02:37] itawunknown: rebirthztvPlease
[0:02:37] cham2013z: ดีนาบ
[0:02:37] isdeploy_: หวัดดีค้าบ
[0:02:37] oomzaza54321: SeemsGood
[0:02:37] k_kingsman: คิดจุดๆไปเลย
[0:02:37] kunyakorn_pk: !uptime
[0:02:38] mozmikixz: สวัสดีครับลุง
[0:02:38] bbenz1231: ดีค้าบบ
[0:02:38] DM_GUNDAM: ดีค้าบบ
[0:02:38] Nightbot: Stream uptime 2 minutes, 47 seconds
[0:02:38] eeeee_4556: ดีครับ
[0:02:38] tamntk: tamntk subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! 
[0:02:39] oraczs: มาแล้ววว
[0:02:40] kimkevln: rebirthztvMc
[0:02:40] song_suttipong: สวัสดีครับพี่เอสส
[0:02:40] nonaunn: ดีค่ะลุง rebirthztvLove
[0:02:41] Tong3_TV: <3
[0:02:41] rachatt__: rebirthztvNarukeu rebirthztvNarukeu
[0:02:41] food________________: rebirthztvBrear_TK
[0:02:41] boluy89: MrDestructoid
[0:02:42] WinzBusy: @purple_moon_iusupczz พี่ซุปหวัดดีครับ amndtwNgoii amndtwNgoii
[0:02:42] raiwaa956i: D
[0:02:42] realname_r: ดีครับ
[0:02:42] phxng55: ดีคับ
[0:02:42] phat_az13: ดีครับ
[0:02:43] six1997: ไอ้บอลบัพบ็อบไม่เอาทรงเลยพี่เอส555
[0:02:43] blackleaf_73: blackleaf_73 subscribed at Tier 1. They've subscribed for 3 months! 
[0:02:44] sutthawee20: สวัสดีค้าบบบ
[0:02:44] alongkorn_gun: สวัสดีคับประธานบริษัท
[0:02:44] norased___: <3
[0:02:44] purple_moon_iusupczz: @thipplex ตั้มดีจ้า
[0:02:45] h3llomababe: ดีค้าบลุงง jackey9JackeyCute jackey9JAK
[0:02:45] auttwut25: ลุงมาแล้ววววว
[0:02:48] 7xgodking: หวัดดีค้าบลุง
[0:02:48] theeraphat999: ดีน๊าบบบ
[0:02:48] champnaja_: @purple_moon_iusupczz  ดีค้าบบบบพี่เลิฟฟฟ
[0:02:48] cgggqkbn: ดีคับลุง
[0:02:49] s4f3z: ดีค้าบบบ
[0:02:50] tonetone2000: คิดถึงจัง
[0:02:50] banknoi9: ดีค้าบบบบ
[0:02:50] luesakkkkkkkkkk: เมืองรี
[0:02:50] Pobpap02: ..
[0:02:50] OvEl2DoSe: ดีคับพี่เอสสส
